"AYD.AX","AMYF ONE FPO",N/A,+0.00,N/A
"AYH.AX","AMYF TWO FPO",N/A,+1.25,N/A
"AYJ.AX","AMYF THREE FPO",55.00,+0.00,N/A
"AYK.AX","AMYF FOUR FPO",N/A,+0.00,N/A
"AYZ.AX","AMYF FIVE FPO",N/A,-0.11,N/A
"AUZ.AX","AUST MINES FPO",0.013,+0.000,N/A
"AQC.AX","AUSPACCOAL FPO",0.010,+0.000,N/A
"API.AX","AUST PHARM FPO",2.17,+0.01,N/A
"APC.AX","AUSPOTASH FPO",0.12,-0.01,N/A
"ARC.AX","AUST RURAL FPO",0.65,+0.00,N/A
"AUI.AX","A.U.INV. FPO",8.23,+0.01,N/A
"AYU.AX",N/A,N/A,N/A,N/A
"AOF.AX","AU OFFICE FPO",2.13,+0.02,N/A
"AVL.AX","AUSTVANAD FPO",0.017,+0.000,N/A
"AVG.AX","AUST VINT FPO",0.47,-0.00,N/A
"AWY.AX","AUSWHISKY FPO",0.032,+0.000,N/A
"ATS.AX","AUSTRALIS FPO",0.250,+0.005,N/A
"ANS.AX","AUSTSINORE FPO",N/A,+0.000,N/A
"ABA.AX","AUSWIDE FPO",5.29,+0.01,N/A
"AIY.AX","AUTHINVEST FPO",0.024,+0.000,N/A
"AHG.AX","AHG LTD FPO",3.70,-0.01,N/A
"4WD.AX","AUTO SOLNS FPO",0.395,+0.020,N/A
"ASG.AX","AUTOSPORTS FPO",2.23,-0.13,N/A
"AVI.AX","AVALON MIN FPO",0.016,+0.000,N/A
"AVB.AX","AVANCO RES FPO",0.099,-0.002,N/A
"AEV.AX","AVENIRA FPO",0.083,+0.000,N/A
"AVN.AX","AVENTUS RE UNIT",2.47,-0.01,N/A
"AOG.AX","AVEO GROUP STAPLED",3.33,+0.00,N/A
"AVW.AX","AVIRAENRGY FPO",0.23,+0.00,N/A
"AVH.AX","AVITA MED FPO",0.088,+0.002,N/A
"AVJ.AX","AVJ FPO",0.61,+0.00,N/A
"AVZ.AX","AVZ MINS FPO",0.043,+0.000,N/A
"AWE.AX","AWE LTD FPO",0.52,+0.01,N/A
"AXJ.AX",N/A,N/A,N/A,N/A
"AVQ.AX","AXIOM MINE CDI 1:1",0.14,-0.02,N/A
"AXI.AX","AXIOM FPO",0.054,+0.000,N/A
"AXL.AX","AXSESS T FPO",1.48,-0.01,N/A
"AYG.AX","AXXISTECH FPO",N/A,+0.000,N/A
"APY.AX","AZONTOPET FPO",0.010,+0.000,N/A
"AZM.AX","AZUMAH FPO",0.027,+0.000,N/A
"AZV.AX","AZ HEALTH FPO",0.09,+0.00,N/A
"AZS.AX","AZURE MINS FPO",0.012,+0.000,N/A
"BBN.AX","BABY B FPO",1.95,-0.06,N/A
"BTI.AX","BAILADOR FPO",0.92,-0.01,N/A
"BOQ.AX","BANK QLD FPO",12.00,+0.02,N/A
"BMN.AX","BANNERMAN FPO",0.04,-0.00,N/A
"BAP.AX","BAPCOR LTD FPO",5.12,-0.10,N/A
"BKP.AX","BARAKA FPO",0.002,+0.000,N/A
"BCL.AX","BARALABA FPO",0.470,+0.005,N/A
"BD1.AX","BARD1 LIFE FPO",0.017,-0.019,N/A
"BAR.AX","BARRA RES FPO",0.051,-0.006,N/A
"BST.AX","BARRACKST FPO",0.90,+0.00,N/A
"BSE.AX","BASEIRON FPO",0.310,+0.000,N/A
"BSM.AX","BASSMETALS FPO",0.01,-0.00,N/A
"BAS.AX","BASS OIL FPO",0.002,+0.000,N/A
"BSR.AX","BASSARI FPO",0.017,+0.000,N/A
"BRL.AX","BATHURST FPO",0.079,+0.001,N/A
"BAT.AX","BATTMIN FPO",0.080,+0.004,N/A
"BMH.AX","BAUMART FPO",0.22,+0.00,N/A
"BAU.AX","BAUXITERES FPO",0.067,+0.000,N/A
"BBX.AX","BBXMINERAL FPO",0.08,+0.01,N/A
"BCI.AX","BCIRON FPO",0.145,+0.005,N/A
"BCD.AX","BCD RES FPO",N/A,+0.000,N/A
"BPT.AX","BEACH FPO",0.69,-0.00,N/A
"BLX.AX","BEACON LTG FPO",1.59,-0.01,N/A
"BCN.AX","BEACON MIN FPO",0.024,+0.000,N/A
"BDR.AX","BEADELL FPO",0.24,+0.00,N/A
"BGA.AX","BEGA FPO",6.30,+0.06,N/A
"BFG.AX","BELL FN GP FPO",0.68,+0.00,N/A
"BAL.AX","BELLAMYS FPO",5.81,-0.28,N/A
"BEN.AX","BEN ADE BK FPO",12.24,+0.10,N/A
"BLT.AX","BENITEC FPO",0.170,-0.005,N/A
"BEL.AX","BENTLEY FPO",0.14,+0.00,N/A
"BKY.AX","BERKELEY FPO",0.89,+0.04,N/A
"BMT.AX","BERKUT FPO",0.21,+0.02,N/A
"BFC.AX","BEST GLOB FPO",0.245,+0.000,N/A
"BYI.AX","BEYOND INT FPO",0.95,+0.00,N/A
"BHP.AX","BHP BLT FPO",23.83,+0.07,N/A
"BID.AX","BIDENERGY FPO",0.034,+0.000,N/A
"BRI.AX","BIG RIVER FPO",1.68,+0.01,N/A
"BIG.AX","BIG UN FPO",0.660,-0.030,N/A
"BTH.AX","BIGTINCAN FPO",0.200,+0.005,N/A
"BBG.AX","BILLABONG FPO",1.10,-0.01,N/A
"BNO.AX","BIONOMICS FPO",0.37,+0.02,N/A
"BTC.AX","BIO CAPITL FPO",0.13,+0.00,N/A
"BIT.AX","BIOTRON FPO",0.033,+0.000,N/A
"BXN.AX","BIOXYNE FPO",0.015,+0.002,N/A
"BOP.AX","B&P GROUP FPO",N/A,+0.00,N/A
"BGS.AX","BIRIMIAN FPO",N/A,+0.000,N/A
"BIS.AX","BISALLOY FPO",0.43,+0.00,N/A
"BSN.AX","BISAN FPO",0.020,+0.000,N/A
"BKI.AX","BKI INVEST FPO",1.63,+0.01,N/A
"BKM.AX","BKM MANAGE FPO",0.001,+0.000,N/A
"BMZ.AX","BLACKMOUNT FPO",0.036,+0.000,N/A
"BKT.AX","BLACKROCK FPO",0.075,-0.001,N/A
"BSP.AX","BLACKSTAR FPO",0.003,-0.001,N/A
"BGG.AX","BGOLD INT FPO",0.031,+0.000,N/A
"BLK.AX","BLACKHAM FPO",0.340,-0.015,N/A
"BKL.AX","BLACKMORE. FPO",105.70,-2.30,N/A
"BSX.AX","BLACKSTONE FPO",0.19,+0.00,N/A
"BWF.AX","BLACKWALL FPO",1.00,+0.00,N/A
"BWR.AX","BWLPTRUST UNITS",1.34,+0.00,N/A
"BLZ.AX","BLAZE INT FPO",0.03,+0.00,N/A
"BGH.AX","BLIGHRESOU FPO",0.039,+0.000,N/A
"BDI.AX","BLINA M FPO",0.002,+0.000,N/A
"BUL.AX","BLUEENERGY FPO",0.059,+0.001,N/A
"BLA.AX","BLUE SKY FPO",8.00,-0.16,N/A
"BAF.AX","BLUE S AAF FPO",1.16,+0.01,N/A
"BCT.AX","BLUECHIIP FPO",0.033,+0.003,N/A
"BSL.AX","BLUESCOPE FPO",11.30,-0.19,N/A
"BLG.AX","BLUGLASS FPO",0.24,+0.01,N/A
"BMG.AX","BMG FPO",0.011,+0.000,N/A
"BOA.AX","BOADICEA FPO",0.19,+0.00,N/A
"BLY.AX","BOART FPO",0.043,+0.000,N/A
"BDA.AX","BOD AUST FPO",0.23,-0.02,N/A
"BOL.AX","BOOM FPO",0.12,-0.01,N/A
"BBR.AX","BORA BORA FPO",N/A,+0.000,N/A
"BLD.AX","BORAL LTD FPO",6.67,-0.09,N/A
"BOE.AX","BOSS RES FPO",0.06,+0.00,N/A
"BOT.AX","BOTANIX FPO",0.05,+0.00,N/A
"BML.AX","BOTSWANA FPO",0.002,+0.000,N/A
"BOC.AX","BOUGVLLE.C FPO 1K",0.40,+0.01,N/A
"BUY.AX","BOUNTY OIL FPO",0.008,+0.000,N/A
"BHL.AX","BOYUAN FPO",0.17,+0.00,N/A
"BPB.AX",N/A,N/A,N/A,N/A
"BPH.AX","BPH ENERGY FPO",0.004,-0.001,N/A
"BPS.AX","BPSTECH FPO",0.905,+0.000,N/A
"BKN.AX","BRADKEN FPO",N/A,+0.00,N/A
"BRC.AX","BRAIN RES FPO",0.070,-0.005,N/A
"BRN.AX","BRAINCHIP FPO",0.205,-0.005,N/A
"BXB.AX","BRAMB LTD FPO",10.37,-0.13,N/A
"BVS.AX","BRAVURA FPO",1.41,+0.05,N/A
"BRB.AX","BREAKER FPO",0.65,-0.04,N/A
"BRG.AX","BREVILLE FPO",10.70,+0.09,N/A
"BKW.AX","BRICKWORKS FPO",15.38,-0.05,N/A
"BYL.AX","BRIERTY FPO",N/A,+0.000,N/A
"BTN.AX","BRIGHT MIN FPO",N/A,+0.000,N/A
"BBL.AX","BRIS BRONC FPO",0.50,+0.00,N/A
"BRO.AX","BROAD INVT FPO",N/A,+0.000,N/A
"BCK.AX","BROCKMAN FPO",0.028,+0.000,N/A
"BPL.AX","BROKEN HIL FPO NZ",0.038,+0.000,N/A
"BGR.AX","BRONSON GR FPO",N/A,+0.000,N/A
"BEE.AX","BROO LTD FPO",0.265,+0.000,N/A
"BPA.AX","BROOKPRIME UNIT",8.68,+0.00,N/A
"BRK.AX","BROOKSIDE FPO",0.011,+0.000,N/A
"BSA.AX","BSA AUST FPO",0.34,+0.00,N/A
"BTT.AX","BT INVEST FPO",12.35,+0.57,N/A
"BUB.AX","BUBS AUST FPO",0.14,-0.00,N/A
"BUD.AX","BUDDY FPO",0.058,+0.001,N/A
"BUG.AX","BUD GINGER FPO",0.34,+0.00,N/A
"BIQ.AX","BUILDINGIQ CDI 1:1",0.054,-0.005,N/A
"BNR.AX","BULLETIN FPO",0.040,-0.001,N/A
"BPF.AX","BULLETPRF FPO",0.095,-0.005,N/A
"BUA.AX","BURRABULLA FPO",N/A,+0.00,N/A
"BRU.AX","BURUENERGY FPO",0.17,-0.00,N/A
"BUX.AX","BUXTONRES FPO",0.26,-0.02,N/A
"BMP.AX","BUYMYPLACE FPO",0.220,+0.025,N/A
"BWP.AX","BWP TRUST ORD UNITS",2.95,+0.01,N/A
"BWX.AX","BWXLIMITED FPO",5.26,-0.10,N/A
"BYE.AX","BYRON ENER FPO",0.100,-0.005,N/A
"BPG.AX","BYTE POWER FPO",0.001,+0.000,N/A
"CAB.AX","CABCHARGE FPO",2.58,-0.08,N/A
"CBS.AX","CABRAL FPO",N/A,+0.00,N/A
"CDM.AX","CADENCE FPO",1.22,-0.01,N/A
"CAD.AX","CAENEUS FPO",0.004,+0.000,N/A
"DXA.AX",N/A,N/A,N/A,N/A
"CTX.AX","CALTEX FPO",32.80,+0.02,N/A
"CAE.AX","CANNINDAH FPO",0.025,+0.000,N/A
"CAY.AX","CANYON FPO",0.085,+0.006,N/A
"CFE.AX","CAPE LAMBT FPO",0.028,+0.002,N/A
"CZZ.AX","CAPILANO FPO",14.78,+0.00,N/A
"CMY.AX","CAP MINING FPO",0.01,-0.00,N/A
"CAJ.AX","CAPITOL H FPO",0.180,-0.010,N/A
"CAA.AX","CAPRAL FPO",0.14,-0.01,N/A
"CMM.AX","CAPMETALS FPO",0.100,+0.001,N/A
"CAQ.AX","CAQHOLDLTD FPO",0.08,+0.00,N/A
"CVV.AX","CARAVELMIN FPO",0.069,-0.001,N/A
"CRB.AX","CARBINE FPO",0.085,-0.002,N/A
"CNQ.AX","CARB TUNG FPO",0.010,-0.001,N/A
"CNX.AX","CARBON ENE FPO",N/A,+0.000,N/A
"CRM.AX","CARBON FPO",0.20,+0.00,N/A
"CDV.AX","CARDINAL FPO",0.450,-0.005,N/A
"CDD.AX","CARDNO FPO",1.42,-0.04,N/A
"CDP.AX","CARINDALE UNIT",8.11,+0.08,N/A
"CIN.AX","CARLT.INV. FPO",32.38,+0.00,N/A
"CVN.AX","CARNARVON FPO",0.088,-0.001,N/A
"CAV.AX","CARNAVALE FPO",0.014,+0.000,N/A
"CCE.AX","CARNEGIE FPO",0.06,+0.00,N/A
"CAP.AX","CARPENTARI FPO",0.058,+0.000,N/A
"CAR.AX","CARSALES FPO",11.71,-0.03,N/A
"CCV.AX","CASH CONV FPO",0.28,+0.00,N/A
